,Area,Year,Undernourished (mil),Population,Population (mil),Undernourished (%),Inflation (%),Ratio U:I ,Ratio I:U
153,Singapore,2015,,5535002.0,5.535002,,1.2287415833333300,0.0000000000000000,
154,Singapore,2016,,5607283.0,5.607283,,2.30281025,0.00000000,
155,Singapore,2017,,5612253.0,5.612253,,1.2884244166666700,0.0000000000000000,
156,Singapore,2018,,5638676.0,5.638676,,1.2940671666666700,0.0000000000000000,
157,Singapore,2019,,5703569.0,5.703569,,1.1428373333333300,0.0000000000000000,
158,Singapore,2020,,5685807.0,5.685807,,2.9000233333333300,0.0000000000000000,
159,Singapore,2021,,5453566.0,5.453566,,1.60508975,0.00000000,
160,Thailand,2002,11.0,64069093.0,64.069093,17.168964761214900,0.39334358333333300,43.6487729524377,0.0229101514741241
161,Thailand,2003,10.5,64549867.0,64.549867,16.266493624223900,3.6889599166666700,4.40950674219368,0.226782735227776
162,Thailand,2004,9.7,64995303.0,64.995303,14.924155365503900,4.5245066666666700,3.29851549903869,0.303166682191257
163,Thailand,2005,8.9,65416189.0,65.416189,13.605194885321100,4.933538750000000,2.757694947733230,0.362621689111039
164,Thailand,2006,7.8,65812540.0,65.81254,11.851844648451500,4.531175666666670,2.615622416857260,0.382318179242983
165,Thailand,2007,7.0,66182064.0,66.182064,10.576883791354700,4.084910333333330,2.589257273298300,0.386211138735611
166,Thailand,2008,6.7,66530980.0,66.53098,10.070496481488800,11.55658925,0.87140732128113,1.14756896755218
167,Thailand,2009,7.1,66866834.0,66.866834,10.618118991546700,4.540030333333330,2.338777103224940,0.427573879794316
168,Thailand,2010,6.9,67195032.0,67.195032,10.268616286989800,5.431694416666670,1.890499630369750,0.528960695858171
169,Thailand,2011,6.6,67518379.0,67.518379,9.775116194658640,7.943921916666670,1.230515140657420,0.812667773811980
170,Thailand,2012,6.1,67835969.0,67.835969,8.992279597273830,4.894220916666670,1.837326052580040,0.544269210462544
171,Thailand,2013,6.0,68144519.0,68.144519,8.804816716073670,3.4144318333333300,2.5787062521257,0.387791358234647
172,Thailand,2014,5.6,68438748.0,68.438748,8.182499188909770,3.9370196666666700,2.07834856863633,0.48115124435365
173,Thailand,2015,5.3,68714519.0,68.714519,7.713071527139700,1.1390482500000000,6.77150553292163,0.147677646446305
174,Thailand,2016,5.0,68971313.0,68.971313,7.249390772073600,1.60806575,4.50814325973524,0.22182081233566
175,Thailand,2017,5.1,69209817.0,69.209817,7.368896814161490,0.0065063333333333100,1132.57290037833,0.00088294537125686
176,Thailand,2018,5.4,69428454.0,69.428454,7.777790932806890,0.40492791666666700,19.2078407357858,0.0520620726585324
177,Thailand,2019,5.4,69625581.0,69.625581,7.755770109839370,2.315715583333330,3.349189410676860,0.298579709111735
178,Thailand,2020,5.5,69799978.0,69.799978,7.879658644018490,1.2302154166666700,6.40510477861578,0.156125470942899
179,Thailand,2021,6.2,69950844.0,69.950844,8.863366966665910,-0.12298808333333300,-72.0668761268817,-0.0138760003727564
180,Timor-Leste,2002,0.4,922699.0,0.922699,43.35108198881760,4.799870583333330,9.03171892578652,0.110720894684277
181,Timor-Leste,2003,0.3,947110.0,0.94711,31.675306986516900,4.739176916666670,6.683714818731840,0.149617394984806
182,Timor-Leste,2004,0.3,971889.0,0.971889,30.867722548562600,4.6558685000000000,6.62985274359931,0.15083291268655
183,Timor-Leste,2005,0.3,995130.0,0.99513,30.14681498899640,0.5226058333333330,57.6855692496029,0.0173353580975
184,Timor-Leste,2006,0.3,1016437.0,1.016437,29.514864177514200,4.785727583333330,6.167267915604310,0.162146352920686
185,Timor-Leste,2007,0.3,1036388.0,1.036388,28.946687919968200,12.691853333333300,2.280729784667770,0.438456149747554
186,Timor-Leste,2008,0.3,1055428.0,1.055428,28.424487506490300,9.050540083333330,3.140639922564880,0.318406447302411
187,Timor-Leste,2009,0.3,1074286.0,1.074286,27.92552448789240,-0.13182708333333300,-211.834501543821,-0.0047206663348611
188,Timor-Leste,2010,0.3,1093517.0,1.093517,27.43441574296510,5.664241083333330,4.84344069034934,0.206464797224114
189,Timor-Leste,2011,0.3,1113154.0,1.113154,26.95044890464390,16.192853333333300,1.66434218539891,0.600837981980444
190,Timor-Leste,2012,0.3,1133002.0,1.133002,26.47832925272860,12.806267166666700,2.06760712611469,0.483650877078923
191,Timor-Leste,2013,0.3,1153288.0,1.153288,26.01258315355750,12.974495500000000,2.004901319944,0.498777665540133
192,Timor-Leste,2014,0.3,1174333.0,1.174333,25.546416561571500,0.7137060000000000,35.7940336238892,0.0279376169366001
193,Timor-Leste,2015,0.3,1196294.0,1.196294,25.077447517081900,0.32072425,78.190057400031,0.0127893498643167
194,Timor-Leste,2016,0.3,1219289.0,1.219289,24.604503116160300,-2.133786833333330,-11.530909616554300,-0.086723427140939
195,Timor-Leste,2017,0.3,1243260.0,1.24326,24.13010955069740,0.9481361666666670,25.4500465218312,0.0392926590189999
196,Timor-Leste,2018,0.3,1267975.0,1.267975,23.659772471854700,1.7335270000000000,13.6483437938115,0.0732689632608334
197,Timor-Leste,2019,0.3,1293120.0,1.29312,23.199703043801000,0.9319185833333330,24.8945599526722,0.0401694186160001
198,Timor-Leste,2020,0.3,1318442.0,1.318442,22.7541294952679,0.8813974166666670,25.8159702592743,0.0387357124274945
199,Timor-Leste,2021,0.3,1343875.0,1.343875,22.32350479025210,5.780024583333330,3.86218163407502,0.258921017897569
200,Viet Nam,2002,15.9,81534406.0,81.534406,19.50096993409140,5.744411666666670,3.39477235715025,0.294570561673671
201,Viet Nam,2003,14.7,82301650.0,82.30165,17.86112429094680,2.5348580833333300,7.04620286570816,0.141920410050456
202,Viet Nam,2004,13.4,83062819.0,83.062819,16.13236844273250,12.53350725,1.28713919583303,0.776916749359654
203,Viet Nam,2005,13.0,83832662.0,83.832662,15.50708243047320,11.240448666666700,1.37957859960333,0.724859026000786
204,Viet Nam,2006,13.0,84617545.0,84.617545,15.36324411208100,8.663434166666670,1.77334343593127,0.563906561886504
205,Viet Nam,2007,12.9,85419588.0,85.419588,15.101922523906300,11.200887833333300,1.348279060429810,0.741686220122129
206,Viet Nam,2008,12.1,86243424.0,86.243424,14.030055207455600,36.79060925,0.381348814098685,2.62227116757526
207,Viet Nam,2009,11.1,87092250.0,87.09225,12.745106481920000,9.030704083333330,1.411308173129250,0.708562466397918
208,Viet Nam,2010,10.2,87967655.0,87.967655,11.595170975059000,10.73475475,1.08015238774402,0.925795296429027
209,Viet Nam,2011,9.6,88871384.0,88.871384,10.802127262921900,26.6423995,0.4054487383136,2.46640303817282
210,Viet Nam,2012,8.7,89801926.0,89.801926,9.687988206399940,8.389524833333340,1.154771980399600,0.865971825584095
211,Viet Nam,2013,8.3,90752593.0,90.752593,9.145744188267990,2.6918885000000000,3.39751969231563,0.294332363182988
212,Viet Nam,2014,7.9,91713850.0,91.71385,8.613748087120980,4.007883333333330,2.149201304209870,0.465289127659282
213,Viet Nam,2015,7.8,92677082.0,92.677082,8.416320228986060,1.4826798333333300,5.67642456568972,0.176167231402025
214,Viet Nam,2016,7.5,93640435.0,93.640435,8.009360486204490,2.363180333333330,3.389229494351400,0.295052312529037
215,Viet Nam,2017,7.3,94600643.0,94.600643,7.716649452372120,-1.0726094166666700,-7.19427718279131,-0.13899937055414
216,Viet Nam,2018,6.8,95545959.0,95.545959,7.11699382283661,3.2546765,2.18669776330662,0.457310569745976
217,Viet Nam,2019,6.5,96462108.0,96.462108,6.738397216034300,4.078946833333330,1.651994372902300,0.605328938405012
218,Viet Nam,2020,6.0,97338583.0,97.338583,6.164051103969740,10.020975250000000,0.615114891534109,1.625712551855120
219,Viet Nam,2021,5.6,98168829.0,98.168829,5.704458387702680,0.7271531666666670,7.84491995524466,0.127471026563051
